0.360207892,2.312466177
0.378567403,2.544082949
0.396765374,2.781779661
0.414691246,3.016291642
0.434625713,3.249356019
0.455518441,3.493132671
0.476098779,3.731553185
0.497608937,3.960853789
0.520090924,4.184943016
0.543588649,4.410335087
0.568148001,4.638332846
0.594637521,4.861119229
0.625809315,5.09881594
0.659525298,5.333791155
0.698907632,5.552574252
0.742689956,5.757239254
0.789214978,5.917370668
0.83865451,6.017808122
0.891191129,6.054761525
0.926324329,6.24821417
0.931455172,6.844048315
0.937649711,7.060841613
0.941802274,7.40687707
0.944406959,7.625754919
0.947018848,7.912380674
0.952264316,8.094778882
0.955777427,8.296285473
0.960187046,8.793103448
0.963906845,9.112039743
1.000800474,9.413731116
1.063494554,9.583337761
1.130116038,9.722623665
1.200910954,9.839169013
1.276140742,9.943396561
1.35608322,10.03625383
1.441033609,10.11489825
1.531305625,10.18311992
1.627232635,10.23333865
1.719643909,10.28008312
1.850221791,10.32524839
1.985224442,10.35935923
2.086409759,10.38480699
2.257271297,10.40341905
2.421974583,10.42852842
2.545420709,10.43989869
2.753871852,10.45553283
2.954809924,10.44274126
3.105414245,10.4607442
3.318227794,10.4607442
3.604869244,10.44558383
3.788606574,10.43989869
4.048239186,10.43989869
4.397941866,10.411473
4.673446251,10.32714344
4.966209315,10.17743478
5.277312209,10.02298851
5.607903813,9.859067
5.959204976,9.692302924
6.332513026,9.517958663
6.729206562,9.331296601
7.150750541,9.150319678
7.598701695,8.954182385
8.074714271,8.762782707
8.580546148,8.544852381
9.118065325,8.329764625
9.689256818,8.122257053
10.29622999,7.900536635
10.73173389,7.766462108
11.71609997,7.425287356
12.52805346,7.126436782
13.56048218,6.804597701
14.50137858,6.526733338
15.11474938,6.348967465
